comp_id,company_name,legal_form,legal_country,HQ_country,founding_date
abf18e86-b7e3-4b4f-a1a2-554f50fd8ba4,Trevino-Harris,LLC,Guinea,Rwanda,2021-03-15
f2fd9260-fafb-44ac-b003-2b7fd8dafcbf,"Willis, Gallagher and Harris",Group,Papua New Guinea,Samoa,2008-11-06
b69fdb22-d807-4a19-8860-2ef5647c4071,Johnson-Yates,LLC,Pitcairn Islands,Mayotte,1979-06-13
b561a8cc-bedb-4ab4-9c35-ee1260814d1e,Robertson-Scott,PLC,Niue,Papua New Guinea,2013-01-08
7b66db00-4e59-42a3-9e27-445e3ac3500b,Payne LLC,PLC,Dominica,Antarctica (the territory South of 60 deg S),1983-06-07
66057a70-e1fa-418f-bdde-7035becb3ce1,"Harrison, Pitts and Reed",and Sons,Saint Kitts and Nevis,Equatorial Guinea,2007-07-30
a960faef-9a96-4074-86ba-fc79f1ea29e0,"Harris, Robinson and Stevenson",and Sons,Cape Verde,Norfolk Island,2001-03-08
be3a311d-d470-4628-874c-e5f95894cbfa,Logan-Perkins,LLC,Jordan,Burundi,2013-10-14
957e535d-fc95-4362-87fe-c5f342fce514,Ponce-Bailey,Ltd,Gambia,Syrian Arab Republic,1991-10-08
038f3080-9abc-4cb2-b004-3c605af7b573,"Singleton, Robertson and Garcia",LLC,Pakistan,Turkmenistan,2008-11-09
ce64d25a-b4dc-4334-afb0-a53ca0683923,Rush PLC,LLC,Netherlands Antilles,Congo,2009-12-28
8e6ec33f-9767-4488-bcf3-d6f13f1690df,"Mcbride, Garcia and Donaldson",Group,Bermuda,Gibraltar,1995-01-25
437811e9-1740-4ae7-81e0-cbdde8829b01,"Fields, Juarez and Lynch",Group,Canada,Malta,1988-03-30
dae23b9f-2164-486e-93ab-5d0dda522df0,"Little, Martin and Boyer",Ltd,Uruguay,Suriname,1999-07-20
bb002aab-0be5-4922-a7b2-977cbcac71b4,Nicholson-Berry,Ltd,Yemen,Reunion,2006-04-29
9109e7a8-3b69-4f5f-9fce-5279e13a966f,Cline-Nicholson,LLC,Sierra Leone,Nauru,2017-12-19
aa021468-4cad-40d3-af04-f0f19e637232,"Mcdonald, Shaw and Owens",PLC,Lesotho,Antigua and Barbuda,2024-02-01
bc64661b-7b58-4a8b-8c64-4992c7300012,Castaneda-Perez,and Sons,Macao,Grenada,2007-09-24
69f74311-931b-4dcb-b946-a197f2fda047,Hunt-Hale,and Sons,Equatorial Guinea,Falkland Islands (Malvinas),2024-04-18
9d80f545-4412-44b7-b20b-d4b5aca868a2,Cannon LLC,and Sons,Uzbekistan,Bermuda,2014-06-02
16d50587-f20e-4c8a-8aff-8d79967b3863,Williams-Hodge,LLC,Niue,Samoa,2003-07-24
d8ea57a8-9c43-4722-afde-353b0eb15656,Kennedy PLC,Ltd,Cuba,French Polynesia,1998-07-06
80443275-9337-4089-b83f-7596fcc8693e,Nelson-Garcia,PLC,Montenegro,Lebanon,1983-05-16
1047d610-3afd-4f2d-a043-14aefc730bbe,Hernandez and Sons,Ltd,Bosnia and Herzegovina,Angola,1993-02-25
f7009258-e992-424d-996b-9e4bc0a84400,Golden-Robertson,PLC,Anguilla,Mexico,2000-01-27
1214c6aa-55ce-4fd2-81f5-d30cd28cb872,"Freeman, Johnson and Combs",Group,Austria,Belize,1976-10-20
4a71eff4-fe05-4178-b4e3-1dcdd5df8d7c,Cruz Group,LLC,Antigua and Barbuda,Moldova,1974-04-12
ca22a71a-6cb5-4af2-ac8b-4dc3d96c9d82,Duran Inc,and Sons,Pakistan,Namibia,2001-05-18
6ec4ce24-5af2-45bc-a2a9-4f437948a30e,"Crawford, Maxwell and Garcia",and Sons,Norway,Denmark,1973-06-12
0c048f77-3b49-46b8-bee5-6470e2ec6a8b,Wagner Ltd,and Sons,Cuba,Netherlands Antilles,1974-04-13
5a1e9930-638a-475c-ac5b-f9e10cfd8dfb,Manning-Reyes,LLC,Cameroon,Djibouti,1975-10-30
96fc5bf3-0485-4631-ac2c-6fff377aa14e,Sanchez-Vargas,Inc,Russian Federation,Cook Islands,1973-08-19
cbbd3027-db84-4615-9640-1a2dd3adb4e5,Hunt-Brewer,Ltd,Barbados,Turkmenistan,1979-09-07
8243d25b-16c1-4d31-80ca-b3bac23a7c57,Jones PLC,PLC,Cook Islands,Bhutan,1982-01-12
eb1b045c-8a44-4f0c-8966-a8afa77438a8,Martinez and Sons,Group,United States Virgin Islands,Guadeloupe,1984-03-13
07a3a76f-4469-4f51-9c46-0b3981e7679d,Davidson Group,Inc,Ethiopia,Heard Island and McDonald Islands,2024-09-11
f519adb6-d9d5-4733-b95c-b9d1fe1eeb0b,"Barber, Hull and Hull",and Sons,Mali,Sweden,2024-12-08
33581b72-d77d-487d-bd3b-343740b8afd2,Anderson-Palmer,Group,Bahrain,Liechtenstein,2015-04-06
aa3498c2-d2de-483c-be2a-b2add014e6b8,Robinson PLC,and Sons,Barbados,Grenada,1993-03-28
798d68a4-ca2c-4020-8ab2-ae8d1031eebe,"Valenzuela, Evans and Kemp",PLC,China,Saint Kitts and Nevis,1975-03-20
1018dac2-9091-4a2a-8489-accbc415643e,Green Inc,Group,Antarctica (the territory South of 60 deg S),Mauritius,2018-10-20
ca782b65-41d8-43e5-8a04-d6908ba63b06,Sanchez-Lawson,and Sons,El Salvador,Tokelau,1993-02-03
d115590f-380f-4fd9-aed9-0fa68520b7a9,"Chavez, Hernandez and Spencer",Group,Romania,Faroe Islands,1974-12-17
b0e104bd-2c27-458f-a169-963a04f05ad8,Barron Ltd,and Sons,Oman,Burundi,2004-04-05
e52ce69f-903b-449f-b597-a933b3286196,Jefferson-Brown,Ltd,Timor-Leste,Serbia,2019-11-09
3f8128e7-9910-4fba-932d-281fc5bd89a9,Booker-Hill,LLC,Turkmenistan,Mayotte,1976-05-24
b8ff58ce-ef46-4e39-9bdf-20ecab1e1b2c,Alexander Ltd,LLC,Solomon Islands,Antigua and Barbuda,1973-06-29
ef4ca67a-57bc-4725-8cc2-b3efbced2036,Williams Ltd,Ltd,Turks and Caicos Islands,Finland,1981-06-22
607d6883-f214-41e2-ad75-11d45da4a009,Bailey-Carson,and Sons,Poland,Mongolia,2017-06-08
743ed913-0447-48d5-9e35-e59af2a427b7,Lewis and Sons,Inc,Somalia,Bosnia and Herzegovina,1990-05-03
3b852eff-55a5-4bbd-9f2b-8b634432e9f8,"King, Potter and York",LLC,Colombia,New Caledonia,1984-12-15
eeacaee1-caec-45a1-880c-de088afc56c7,Miller-Caldwell,Group,Mayotte,Finland,1992-05-16
f06e726b-b275-4a66-9bdf-0de31314c130,Rollins and Sons,Inc,Syrian Arab Republic,Tanzania,2007-06-25
24e107eb-d20c-4c7b-8832-5c13395fe825,Rojas Ltd,Group,British Virgin Islands,Switzerland,2020-03-17
bf6e2c81-8b72-4240-82ba-e4f1df228e9e,"Martinez, Parker and Morris",Inc,Grenada,Svalbard & Jan Mayen Islands,1986-05-03
addafd52-5f1e-4f98-a54e-9c718e879041,Ramos-Morgan,Inc,Morocco,Saint Vincent and the Grenadines,2012-10-22
