Run,Execution Time
1,4511.866799999552
2,4151.677499998186
3,4154.614899998705
4,4115.9198000023025
5,4148.3012000026065
6,4133.775599999353
7,4161.220099995262
8,4140.510799996264
9,4127.020900006755
10,4162.210099995718
11,4229.749999998603
12,4167.229099999531
13,4155.494500002533
14,4152.065899994341
15,4149.242100000265
16,4127.011500000663
17,4143.107999996573
18,4176.128799997969
19,4151.3178999957745
20,4139.152399999148
21,4130.013300004066
22,4133.823800002574
23,4129.981600002793
24,4111.754599995038
25,4138.681000003999
26,4145.806699998502
27,4150.456000003032
28,4177.365600000485
29,4145.234199997503
30,4126.720699998259
31,4161.941599995771
Media,4147.917673332752
