Run,Execution Time
1,19378.645400000096
2,19263.462900002196
3,17558.66309999692
4,18307.01229999977
5,18854.198499997437
6,18726.247200000216
7,18761.2186999977
8,19328.01940000354
9,19012.304399999266
10,19318.08859999728
11,18393.94429999811
12,18786.297799997556
13,16823.35719999537
14,14690.264600001683
15,17363.002800004324
16,19101.29489999963
17,17816.488800002844
18,18701.35279999522
19,18415.858699998353
20,18817.395199999737
21,18354.632800001127
22,18217.186299996683
23,18717.253199996776
24,19440.90270000015
25,19064.70669999544
26,18910.160699997505
27,19001.865499994892
28,19365.753599995514
29,18519.802500006335
30,19025.306899995485
31,17426.227500000095
Average,18469.409019998904
